"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Aug 06 20:20:15 GMT 2021","Fri Aug 06 20:20:18 GMT 2021","2679","","homepage.HomePageTest","","homepage.HomePageTest","SearchInputClearModifyData","SearchInputClearModifyData()",""
"failed","Fri Aug 06 20:22:46 GMT 2021","Fri Aug 06 20:22:48 GMT 2021","1971","","searchResultPage.SearchResultPageTest","","searchResultPage.SearchResultPageTest","SearchMorePagesTest2","SearchMorePagesTest2()",""
"passed","Fri Aug 06 20:20:13 GMT 2021","Fri Aug 06 20:20:14 GMT 2021","1521","","homepage.HomePageTest","","homepage.HomePageTest","SearchDataLink","SearchDataLink()",""
"passed","Fri Aug 06 20:22:44 GMT 2021","Fri Aug 06 20:22:46 GMT 2021","1687","","searchResultPage.SearchResultPageTest","","searchResultPage.SearchResultPageTest","SearchMorePagesResultCheck","SearchMorePagesResultCheck()",""
"passed","Fri Aug 06 20:22:48 GMT 2021","Fri Aug 06 20:22:51 GMT 2021","2876","","searchResultPage.SearchResultPageTest","","searchResultPage.SearchResultPageTest","SearchPagesTestSearchField2","SearchPagesTestSearchField2()",""
"passed","Fri Aug 06 20:23:13 GMT 2021","Fri Aug 06 20:23:17 GMT 2021","4051","","firstPage.FirstPageTest","","firstPage.FirstPageTest","LogoutTest2","LogoutTest2()",""
"passed","Fri Aug 06 20:20:21 GMT 2021","Fri Aug 06 20:20:23 GMT 2021","1910","","homepage.HomePageTest","","homepage.HomePageTest","SearchRepeatedDataCheckedWithAllData","SearchRepeatedDataCheckedWithAllData()",""
"passed","Fri Aug 06 20:23:08 GMT 2021","Fri Aug 06 20:23:13 GMT 2021","4396","","firstPage.FirstPageTest","","firstPage.FirstPageTest","SaveToFile","SaveToFile()",""
"passed","Fri Aug 06 20:20:14 GMT 2021","Fri Aug 06 20:20:15 GMT 2021","1252","","homepage.HomePageTest","","homepage.HomePageTest","pageCheckCreateAccount","pageCheckCreateAccount()",""
"passed","Fri Aug 06 20:20:20 GMT 2021","Fri Aug 06 20:20:21 GMT 2021","953","","homepage.HomePageTest","","homepage.HomePageTest","testPrivacyAndPolicyLink","testPrivacyAndPolicyLink()",""
"passed","Fri Aug 06 20:23:23 GMT 2021","Fri Aug 06 20:23:24 GMT 2021","1075","","privacyPolicy.PrivacyPolicyTest","","privacyPolicy.PrivacyPolicyTest","PrivacyTestVersionCheck","PrivacyTestVersionCheck()",""
"passed","Fri Aug 06 20:23:17 GMT 2021","Fri Aug 06 20:23:21 GMT 2021","4720","","firstPage.FirstPageTest","","firstPage.FirstPageTest","LogoutTest","LogoutTest()",""
"passed","Fri Aug 06 20:20:23 GMT 2021","Fri Aug 06 20:20:24 GMT 2021","1227","","homepage.HomePageTest","","homepage.HomePageTest","pageCheckLogin","pageCheckLogin()",""
"broken","Fri Aug 06 20:22:57 GMT 2021","Fri Aug 06 20:23:08 GMT 2021","11522","","createAccountPage.createAccountPageTest","","createAccountPage.createAccountPageTest","CreateAccountCheck","CreateAccountCheck()",""
"passed","Fri Aug 06 20:20:18 GMT 2021","Fri Aug 06 20:20:20 GMT 2021","1903","","homepage.HomePageTest","","homepage.HomePageTest","SearchRepeatedData","SearchRepeatedData()",""
"broken","Fri Aug 06 20:20:25 GMT 2021","Fri Aug 06 20:20:46 GMT 2021","21380","","sandboxPage.SandBoxPageTest","","sandboxPage.SandBoxPageTest","repeatedData","repeatedData()",""
"passed","Fri Aug 06 20:23:21 GMT 2021","Fri Aug 06 20:23:23 GMT 2021","1049","","privacyPolicy.PrivacyPolicyTest","","privacyPolicy.PrivacyPolicyTest","PrivacyTestSummaryCheck","PrivacyTestSummaryCheck()",""
"passed","Fri Aug 06 20:20:11 GMT 2021","Fri Aug 06 20:20:13 GMT 2021","1343","","loginpage.LoginPageTest","","loginpage.LoginPageTest","ZeroLogIn","ZeroLogIn()",""
"passed","Fri Aug 06 20:20:09 GMT 2021","Fri Aug 06 20:20:11 GMT 2021","1871","","loginpage.LoginPageTest","","loginpage.LoginPageTest","invalidLoginCheck","invalidLoginCheck()",""
"failed","Fri Aug 06 20:22:51 GMT 2021","Fri Aug 06 20:22:54 GMT 2021","2972","","searchResultPage.SearchResultPageTest","","searchResultPage.SearchResultPageTest","SearchMorePagesListCheck","SearchMorePagesListCheck()",""
"passed","Fri Aug 06 20:20:24 GMT 2021","Fri Aug 06 20:20:25 GMT 2021","1067","","homepage.HomePageTest","","homepage.HomePageTest","PrivacyPolicyUse","PrivacyPolicyUse()",""
"passed","Fri Aug 06 20:20:04 GMT 2021","Fri Aug 06 20:20:09 GMT 2021","4819","","loginpage.LoginPageTest","","loginpage.LoginPageTest","loginCheck","loginCheck()",""
"failed","Fri Aug 06 20:22:54 GMT 2021","Fri Aug 06 20:22:57 GMT 2021","3132","","searchResultPage.SearchResultPageTest","","searchResultPage.SearchResultPageTest","SearchPagesTestListCheck2","SearchPagesTestListCheck2()",""
"broken","Fri Aug 06 20:20:46 GMT 2021","Fri Aug 06 20:21:08 GMT 2021","21420","","sandboxPage.SandBoxPageTest","","sandboxPage.SandBoxPageTest","InputClearModifyData","InputClearModifyData()",""
"passed","Fri Aug 06 20:21:08 GMT 2021","Fri Aug 06 20:22:44 GMT 2021","96197","","searchResultPage.SearchResultPageTest","","searchResultPage.SearchResultPageTest","testDataList","testDataList()",""
