"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Sat Aug 07 16:19:26 GMT 2021","Sat Aug 07 16:19:26 GMT 2021","145","","searchResultPage.SearchResultPageTest","","searchResultPage.SearchResultPageTest","SearchPagesListCheck","SearchPagesListCheck()",""
"broken","Sat Aug 07 16:19:24 GMT 2021","Sat Aug 07 16:19:24 GMT 2021","147","","loginpage.LoginPageTest","","loginpage.LoginPageTest","ZeroLogIn","ZeroLogIn()",""
"broken","Sat Aug 07 16:19:26 GMT 2021","Sat Aug 07 16:19:26 GMT 2021","158","","searchResultPage.SearchResultPageTest","","searchResultPage.SearchResultPageTest","SearchPagesContainsCheck","SearchPagesContainsCheck()",""
"broken","Sat Aug 07 16:19:25 GMT 2021","Sat Aug 07 16:19:25 GMT 2021","143","","sandboxPage.SandBoxPageTest","","sandboxPage.SandBoxPageTest","InputClearModifyData","InputClearModifyData()",""
"broken","Sat Aug 07 16:19:25 GMT 2021","Sat Aug 07 16:19:25 GMT 2021","174","","searchResultPage.SearchResultPageTest","","searchResultPage.SearchResultPageTest","testDataList","testDataList()",""
"broken","Sat Aug 07 16:19:27 GMT 2021","Sat Aug 07 16:19:27 GMT 2021","177","","createAccountPage.createAccountPageTest","","createAccountPage.createAccountPageTest","CreateAccountCheck","CreateAccountCheck()",""
"broken","Sat Aug 07 16:19:27 GMT 2021","Sat Aug 07 16:19:27 GMT 2021","139","","firstPage.FirstPageTest","","firstPage.FirstPageTest","LogoutTest2","LogoutTest2()",""
"broken","Sat Aug 07 16:19:24 GMT 2021","Sat Aug 07 16:19:25 GMT 2021","159","","homepage.HomePageTest","","homepage.HomePageTest","SearchRepeatedDataCheckedWithAllData","SearchRepeatedDataCheckedWithAllData()",""
"broken","Sat Aug 07 16:19:26 GMT 2021","Sat Aug 07 16:19:26 GMT 2021","142","","searchResultPage.SearchResultPageTest","","searchResultPage.SearchResultPageTest","SearchPagesTestSearchFieldShortDataTest","SearchPagesTestSearchFieldShortDataTest()",""
"broken","Sat Aug 07 16:19:25 GMT 2021","Sat Aug 07 16:19:25 GMT 2021","166","","sandboxPage.SandBoxPageTest","","sandboxPage.SandBoxPageTest","repeatedData","repeatedData()",""
"broken","Sat Aug 07 16:19:27 GMT 2021","Sat Aug 07 16:19:27 GMT 2021","137","","firstPage.FirstPageTest","","firstPage.FirstPageTest","SaveToFile","SaveToFile()",""
"broken","Sat Aug 07 16:19:23 GMT 2021","Sat Aug 07 16:19:24 GMT 2021","152","","loginpage.LoginPageTest","","loginpage.LoginPageTest","invalidLoginCheck","invalidLoginCheck()",""
"broken","Sat Aug 07 16:19:27 GMT 2021","Sat Aug 07 16:19:27 GMT 2021","153","","firstPage.FirstPageTest","","firstPage.FirstPageTest","LogoutTest","LogoutTest()",""
"broken","Sat Aug 07 16:19:25 GMT 2021","Sat Aug 07 16:19:25 GMT 2021","138","","homepage.HomePageTest","","homepage.HomePageTest","PrivacyPolicyUse","PrivacyPolicyUse()",""
"broken","Sat Aug 07 16:19:25 GMT 2021","Sat Aug 07 16:19:26 GMT 2021","132","","searchResultPage.SearchResultPageTest","","searchResultPage.SearchResultPageTest","testDataListNumber","testDataListNumber()",""
"broken","Sat Aug 07 16:19:26 GMT 2021","Sat Aug 07 16:19:26 GMT 2021","156","","searchResultPage.SearchResultPageTest","","searchResultPage.SearchResultPageTest","SearchOnePageResultCheck","SearchOnePageResultCheck()",""
"broken","Sat Aug 07 16:19:27 GMT 2021","Sat Aug 07 16:19:27 GMT 2021","153","","privacyPolicy.PrivacyPolicyTest","","privacyPolicy.PrivacyPolicyTest","PrivacyTestVersionCheck","PrivacyTestVersionCheck()",""
"broken","Sat Aug 07 16:19:24 GMT 2021","Sat Aug 07 16:19:24 GMT 2021","148","","homepage.HomePageTest","","homepage.HomePageTest","SearchInputClearModifyData","SearchInputClearModifyData()",""
"broken","Sat Aug 07 16:19:26 GMT 2021","Sat Aug 07 16:19:27 GMT 2021","163","","searchResultPage.SearchResultPageTest","","searchResultPage.SearchResultPageTest","SearchPagesTestListCheck2","SearchPagesTestListCheck2()",""
"broken","Sat Aug 07 16:19:24 GMT 2021","Sat Aug 07 16:19:24 GMT 2021","203","","homepage.HomePageTest","","homepage.HomePageTest","SearchDataLink","SearchDataLink()",""
"broken","Sat Aug 07 16:19:23 GMT 2021","Sat Aug 07 16:19:23 GMT 2021","809","","loginpage.LoginPageTest","","loginpage.LoginPageTest","loginCheck","loginCheck()",""
"broken","Sat Aug 07 16:19:24 GMT 2021","Sat Aug 07 16:19:24 GMT 2021","143","","homepage.HomePageTest","","homepage.HomePageTest","testPrivacyAndPolicyLink","testPrivacyAndPolicyLink()",""
"broken","Sat Aug 07 16:19:27 GMT 2021","Sat Aug 07 16:19:27 GMT 2021","156","","privacyPolicy.PrivacyPolicyTest","","privacyPolicy.PrivacyPolicyTest","PrivacyTestSummaryCheck","PrivacyTestSummaryCheck()",""
"broken","Sat Aug 07 16:19:26 GMT 2021","Sat Aug 07 16:19:26 GMT 2021","135","","searchResultPage.SearchResultPageTest","","searchResultPage.SearchResultPageTest","SearchMorePagesTest2","SearchMorePagesTest2()",""
"broken","Sat Aug 07 16:19:24 GMT 2021","Sat Aug 07 16:19:24 GMT 2021","150","","homepage.HomePageTest","","homepage.HomePageTest","pageCheckCreateAccount","pageCheckCreateAccount()",""
"broken","Sat Aug 07 16:19:25 GMT 2021","Sat Aug 07 16:19:25 GMT 2021","154","","homepage.HomePageTest","","homepage.HomePageTest","pageCheckLogin","pageCheckLogin()",""
