"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Aug 06 21:34:37 GMT 2021","Fri Aug 06 21:34:41 GMT 2021","4594","","firstPage.FirstPageTest","","firstPage.FirstPageTest","SaveToFile","SaveToFile()",""
"passed","Fri Aug 06 21:29:26 GMT 2021","Fri Aug 06 21:29:29 GMT 2021","2357","","loginpage.LoginPageTest","","loginpage.LoginPageTest","invalidLoginCheck","invalidLoginCheck()",""
"passed","Fri Aug 06 21:29:46 GMT 2021","Fri Aug 06 21:29:47 GMT 2021","1267","","homepage.HomePageTest","","homepage.HomePageTest","PrivacyPolicyUse","PrivacyPolicyUse()",""
"passed","Fri Aug 06 21:34:46 GMT 2021","Fri Aug 06 21:34:52 GMT 2021","5461","","firstPage.FirstPageTest","","firstPage.FirstPageTest","LogoutTest","LogoutTest()",""
"failed","Fri Aug 06 21:34:16 GMT 2021","Fri Aug 06 21:34:20 GMT 2021","4073","","searchResultPage.SearchResultPageTest","","searchResultPage.SearchResultPageTest","SearchMorePagesListCheck","SearchMorePagesListCheck()",""
"passed","Fri Aug 06 21:29:29 GMT 2021","Fri Aug 06 21:29:31 GMT 2021","2127","","loginpage.LoginPageTest","","loginpage.LoginPageTest","ZeroLogIn","ZeroLogIn()",""
"passed","Fri Aug 06 21:34:12 GMT 2021","Fri Aug 06 21:34:16 GMT 2021","3894","","searchResultPage.SearchResultPageTest","","searchResultPage.SearchResultPageTest","SearchPagesTestSearchField2","SearchPagesTestSearchField2()",""
"passed","Fri Aug 06 21:34:52 GMT 2021","Fri Aug 06 21:34:54 GMT 2021","1709","","privacyPolicy.PrivacyPolicyTest","","privacyPolicy.PrivacyPolicyTest","PrivacyTestSummaryCheck","PrivacyTestSummaryCheck()",""
"failed","Fri Aug 06 21:34:20 GMT 2021","Fri Aug 06 21:34:24 GMT 2021","3737","","searchResultPage.SearchResultPageTest","","searchResultPage.SearchResultPageTest","SearchPagesTestListCheck2","SearchPagesTestListCheck2()",""
"passed","Fri Aug 06 21:29:21 GMT 2021","Fri Aug 06 21:29:26 GMT 2021","5141","","loginpage.LoginPageTest","","loginpage.LoginPageTest","loginCheck","loginCheck()",""
"passed","Fri Aug 06 21:34:10 GMT 2021","Fri Aug 06 21:34:12 GMT 2021","2695","","searchResultPage.SearchResultPageTest","","searchResultPage.SearchResultPageTest","SearchMorePagesTest2","SearchMorePagesTest2()",""
"passed","Fri Aug 06 21:29:33 GMT 2021","Fri Aug 06 21:29:34 GMT 2021","1487","","homepage.HomePageTest","","homepage.HomePageTest","pageCheckCreateAccount","pageCheckCreateAccount()",""
"passed","Fri Aug 06 21:29:38 GMT 2021","Fri Aug 06 21:29:41 GMT 2021","2470","","homepage.HomePageTest","","homepage.HomePageTest","SearchRepeatedData","SearchRepeatedData()",""
"passed","Fri Aug 06 21:29:31 GMT 2021","Fri Aug 06 21:29:33 GMT 2021","1998","","homepage.HomePageTest","","homepage.HomePageTest","SearchDataLink","SearchDataLink()",""
"passed","Fri Aug 06 21:34:54 GMT 2021","Fri Aug 06 21:34:55 GMT 2021","1446","","privacyPolicy.PrivacyPolicyTest","","privacyPolicy.PrivacyPolicyTest","PrivacyTestVersionCheck","PrivacyTestVersionCheck()",""
"passed","Fri Aug 06 21:29:42 GMT 2021","Fri Aug 06 21:29:44 GMT 2021","2489","","homepage.HomePageTest","","homepage.HomePageTest","SearchRepeatedDataCheckedWithAllData","SearchRepeatedDataCheckedWithAllData()",""
"broken","Fri Aug 06 21:29:47 GMT 2021","Fri Aug 06 21:30:13 GMT 2021","26294","","sandboxPage.SandBoxPageTest","","sandboxPage.SandBoxPageTest","repeatedData","repeatedData()",""
"passed","Fri Aug 06 21:34:07 GMT 2021","Fri Aug 06 21:34:10 GMT 2021","2184","","searchResultPage.SearchResultPageTest","","searchResultPage.SearchResultPageTest","SearchMorePagesResultCheck","SearchMorePagesResultCheck()",""
"broken","Fri Aug 06 21:34:24 GMT 2021","Fri Aug 06 21:34:37 GMT 2021","12696","","createAccountPage.createAccountPageTest","","createAccountPage.createAccountPageTest","CreateAccountCheck","CreateAccountCheck()",""
"passed","Fri Aug 06 21:34:41 GMT 2021","Fri Aug 06 21:34:46 GMT 2021","5011","","firstPage.FirstPageTest","","firstPage.FirstPageTest","LogoutTest2","LogoutTest2()",""
"passed","Fri Aug 06 21:29:44 GMT 2021","Fri Aug 06 21:29:46 GMT 2021","1524","","homepage.HomePageTest","","homepage.HomePageTest","pageCheckLogin","pageCheckLogin()",""
"broken","Fri Aug 06 21:30:13 GMT 2021","Fri Aug 06 21:30:40 GMT 2021","26114","","sandboxPage.SandBoxPageTest","","sandboxPage.SandBoxPageTest","InputClearModifyData","InputClearModifyData()",""
"passed","Fri Aug 06 21:30:40 GMT 2021","Fri Aug 06 21:34:07 GMT 2021","207899","","searchResultPage.SearchResultPageTest","","searchResultPage.SearchResultPageTest","testDataList","testDataList()",""
"passed","Fri Aug 06 21:29:34 GMT 2021","Fri Aug 06 21:29:38 GMT 2021","3608","","homepage.HomePageTest","","homepage.HomePageTest","SearchInputClearModifyData","SearchInputClearModifyData()",""
"passed","Fri Aug 06 21:29:41 GMT 2021","Fri Aug 06 21:29:42 GMT 2021","1288","","homepage.HomePageTest","","homepage.HomePageTest","testPrivacyAndPolicyLink","testPrivacyAndPolicyLink()",""
