"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Wed Aug 18 18:24:47 GMT 2021","Wed Aug 18 18:25:08 GMT 2021","21646","","sandboxPage.SandBoxPageTest","","sandboxPage.SandBoxPageTest","repeatedData","repeatedData()",""
"passed","Wed Aug 18 18:24:37 GMT 2021","Wed Aug 18 18:24:41 GMT 2021","3495","","homepage.HomePageTest","","homepage.HomePageTest","SearchInputClearModifyData","SearchInputClearModifyData()",""
"passed","Wed Aug 18 18:27:23 GMT 2021","Wed Aug 18 18:29:32 GMT 2021","128780","","searchResultPage.SearchResultPageTest","","searchResultPage.SearchResultPageTest","testDataListNumber","testDataListNumber()",""
"passed","Wed Aug 18 18:30:45 GMT 2021","Wed Aug 18 18:30:50 GMT 2021","4310","","firstPage.FirstPageTest","","firstPage.FirstPageTest","SaveToFile","SaveToFile()",""
"passed","Wed Aug 18 18:29:40 GMT 2021","Wed Aug 18 18:29:44 GMT 2021","3377","","searchResultPage.SearchResultPageTest","","searchResultPage.SearchResultPageTest","SearchPagesContainsCheck","SearchPagesContainsCheck()",""
"passed","Wed Aug 18 18:24:44 GMT 2021","Wed Aug 18 18:24:45 GMT 2021","1324","","homepage.HomePageTest","","homepage.HomePageTest","pageCheckLogin","pageCheckLogin()",""
"passed","Wed Aug 18 18:29:37 GMT 2021","Wed Aug 18 18:29:40 GMT 2021","3160","","searchResultPage.SearchResultPageTest","","searchResultPage.SearchResultPageTest","SearchPagesTestSearchFieldShortDataTest","SearchPagesTestSearchFieldShortDataTest()",""
"passed","Wed Aug 18 18:24:21 GMT 2021","Wed Aug 18 18:24:23 GMT 2021","2011","","loginpage.LoginPageTest","","loginpage.LoginPageTest","ZeroLogInTest2","ZeroLogInTest2()",""
"failed","Wed Aug 18 18:29:44 GMT 2021","Wed Aug 18 18:29:47 GMT 2021","3355","","searchResultPage.SearchResultPageTest","","searchResultPage.SearchResultPageTest","SearchPagesListCheck","SearchPagesListCheck()",""
"failed","Wed Aug 18 18:24:32 GMT 2021","Wed Aug 18 18:24:34 GMT 2021","1561","","loginpage.LoginPageTest","","loginpage.LoginPageTest","invalidLoginCheck2","invalidLoginCheck2()",""
"passed","Wed Aug 18 18:24:45 GMT 2021","Wed Aug 18 18:24:47 GMT 2021","1225","","homepage.HomePageTest","","homepage.HomePageTest","PrivacyPolicyUse","PrivacyPolicyUse()",""
"failed","Wed Aug 18 18:29:47 GMT 2021","Wed Aug 18 18:30:31 GMT 2021","43610","","searchResultPage.SearchResultPageTest","","searchResultPage.SearchResultPageTest","SearchAllPagesCheck","SearchAllPagesCheck()",""
"failed","Wed Aug 18 18:30:31 GMT 2021","Wed Aug 18 18:30:34 GMT 2021","3176","","searchResultPage.SearchResultPageTest","","searchResultPage.SearchResultPageTest","SearchPagesTestListCheck2","SearchPagesTestListCheck2()",""
"broken","Wed Aug 18 18:30:34 GMT 2021","Wed Aug 18 18:30:45 GMT 2021","11745","","createAccountPage.createAccountPageTest","","createAccountPage.createAccountPageTest","CreateAccountCheck","CreateAccountCheck()",""
"broken","Wed Aug 18 18:25:08 GMT 2021","Wed Aug 18 18:25:30 GMT 2021","21618","","sandboxPage.SandBoxPageTest","","sandboxPage.SandBoxPageTest","InputClearModifyData","InputClearModifyData()",""
"passed","Wed Aug 18 18:29:35 GMT 2021","Wed Aug 18 18:29:37 GMT 2021","2238","","searchResultPage.SearchResultPageTest","","searchResultPage.SearchResultPageTest","SearchOnePageResultCheck","SearchOnePageResultCheck()",""
"passed","Wed Aug 18 18:24:34 GMT 2021","Wed Aug 18 18:24:36 GMT 2021","1868","","homepage.HomePageTest","","homepage.HomePageTest","SearchDataLink","SearchDataLink()",""
"passed","Wed Aug 18 18:24:30 GMT 2021","Wed Aug 18 18:24:32 GMT 2021","2139","","loginpage.LoginPageTest","","loginpage.LoginPageTest","invalidLoginCheck","invalidLoginCheck()",""
"passed","Wed Aug 18 18:24:25 GMT 2021","Wed Aug 18 18:24:30 GMT 2021","4566","","loginpage.LoginPageTest","","loginpage.LoginPageTest","validLoginCheck","validLoginCheck()",""
"passed","Wed Aug 18 18:24:16 GMT 2021","Wed Aug 18 18:24:21 GMT 2021","5286","","loginpage.LoginPageTest","","loginpage.LoginPageTest","validLoginCheck2","validLoginCheck2()",""
"passed","Wed Aug 18 18:25:30 GMT 2021","Wed Aug 18 18:27:23 GMT 2021","113163","","searchResultPage.SearchResultPageTest","","searchResultPage.SearchResultPageTest","testDataList","testDataList()",""
"passed","Wed Aug 18 18:24:36 GMT 2021","Wed Aug 18 18:24:37 GMT 2021","1466","","homepage.HomePageTest","","homepage.HomePageTest","pageCheckCreateAccount","pageCheckCreateAccount()",""
"passed","Wed Aug 18 18:24:42 GMT 2021","Wed Aug 18 18:24:44 GMT 2021","2356","","homepage.HomePageTest","","homepage.HomePageTest","SearchRepeatedDataCheckedWithAllData","SearchRepeatedDataCheckedWithAllData()",""
"passed","Wed Aug 18 18:31:02 GMT 2021","Wed Aug 18 18:31:03 GMT 2021","1193","","privacyPolicy.PrivacyPolicyTest","","privacyPolicy.PrivacyPolicyTest","PrivacyTestVersionCheck","PrivacyTestVersionCheck()",""
"passed","Wed Aug 18 18:30:54 GMT 2021","Wed Aug 18 18:31:01 GMT 2021","6657","","firstPage.FirstPageTest","","firstPage.FirstPageTest","LogoutTest","LogoutTest()",""
"passed","Wed Aug 18 18:24:23 GMT 2021","Wed Aug 18 18:24:25 GMT 2021","1918","","loginpage.LoginPageTest","","loginpage.LoginPageTest","ZeroLogInTest","ZeroLogInTest()",""
"passed","Wed Aug 18 18:30:50 GMT 2021","Wed Aug 18 18:30:54 GMT 2021","4488","","firstPage.FirstPageTest","","firstPage.FirstPageTest","LogoutTest2","LogoutTest2()",""
"passed","Wed Aug 18 18:31:01 GMT 2021","Wed Aug 18 18:31:02 GMT 2021","1338","","privacyPolicy.PrivacyPolicyTest","","privacyPolicy.PrivacyPolicyTest","PrivacyTestSummaryCheck","PrivacyTestSummaryCheck()",""
"passed","Wed Aug 18 18:24:41 GMT 2021","Wed Aug 18 18:24:42 GMT 2021","1189","","homepage.HomePageTest","","homepage.HomePageTest","testPrivacyAndPolicyLink","testPrivacyAndPolicyLink()",""
"passed","Wed Aug 18 18:29:32 GMT 2021","Wed Aug 18 18:29:35 GMT 2021","2882","","searchResultPage.SearchResultPageTest","","searchResultPage.SearchResultPageTest","SearchMorePagesTest2","SearchMorePagesTest2()",""
