"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Mon Aug 02 21:04:14 GMT 2021","Mon Aug 02 21:04:15 GMT 2021","155","","homepage.HomePageTest","","homepage.HomePageTest","pageCheckCreateAccount","pageCheckCreateAccount()",""
"broken","Mon Aug 02 21:04:14 GMT 2021","Mon Aug 02 21:04:14 GMT 2021","303","","homepage.HomePageTest","","homepage.HomePageTest","SearchDataLink","SearchDataLink()",""
"broken","Mon Aug 02 21:04:16 GMT 2021","Mon Aug 02 21:04:16 GMT 2021","188","","firstPage.FirstPageTest","","firstPage.FirstPageTest","SaveToFile","SaveToFile()",""
"broken","Mon Aug 02 21:04:15 GMT 2021","Mon Aug 02 21:04:15 GMT 2021","142","","homepage.HomePageTest","","homepage.HomePageTest","pageCheckLogin","pageCheckLogin()",""
"broken","Mon Aug 02 21:04:13 GMT 2021","Mon Aug 02 21:04:14 GMT 2021","775","","loginpage.LoginPageTest","","loginpage.LoginPageTest","loginCheck","loginCheck()",""
"broken","Mon Aug 02 21:04:15 GMT 2021","Mon Aug 02 21:04:15 GMT 2021","168","","homepage.HomePageTest","","homepage.HomePageTest","testPrivacyAndPolicyLink","testPrivacyAndPolicyLink()",""
"broken","Mon Aug 02 21:04:14 GMT 2021","Mon Aug 02 21:04:14 GMT 2021","171","","loginpage.LoginPageTest","","loginpage.LoginPageTest","invalidLoginCheck","invalidLoginCheck()",""
"broken","Mon Aug 02 21:04:15 GMT 2021","Mon Aug 02 21:04:15 GMT 2021","174","","sandboxPage.SandBoxPageTest","","sandboxPage.SandBoxPageTest","repeatedData","repeatedData()",""
"broken","Mon Aug 02 21:04:16 GMT 2021","Mon Aug 02 21:04:16 GMT 2021","145","","firstPage.FirstPageTest","","firstPage.FirstPageTest","LogoutTest","LogoutTest()",""
"broken","Mon Aug 02 21:04:15 GMT 2021","Mon Aug 02 21:04:15 GMT 2021","155","","homepage.HomePageTest","","homepage.HomePageTest","PrivacyPolicyUse","PrivacyPolicyUse()",""
"broken","Mon Aug 02 21:04:14 GMT 2021","Mon Aug 02 21:04:14 GMT 2021","183","","loginpage.LoginPageTest","","loginpage.LoginPageTest","ZeroLogIn","ZeroLogIn()",""
"broken","Mon Aug 02 21:04:15 GMT 2021","Mon Aug 02 21:04:15 GMT 2021","165","","sandboxPage.SandBoxPageTest","","sandboxPage.SandBoxPageTest","InputClearModifyData","InputClearModifyData()",""
"broken","Mon Aug 02 21:04:16 GMT 2021","Mon Aug 02 21:04:16 GMT 2021","139","","searchResultPage.SearchResultPageTest","","searchResultPage.SearchResultPageTest","testDataList","testDataList()",""
"broken","Mon Aug 02 21:04:16 GMT 2021","Mon Aug 02 21:04:16 GMT 2021","151","","searchResultPage.SearchResultPageTest","","searchResultPage.SearchResultPageTest","SearchMorePagesListCheck","SearchMorePagesListCheck()",""
"broken","Mon Aug 02 21:04:16 GMT 2021","Mon Aug 02 21:04:16 GMT 2021","150","","createAccountPage.createAccountPageTest","","createAccountPage.createAccountPageTest","CreateAccountCheck","CreateAccountCheck()",""
