"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Aug 03 19:59:34 GMT 2021","Tue Aug 03 19:59:38 GMT 2021","4373","","firstPage.FirstPageTest","","firstPage.FirstPageTest","SaveToFile","SaveToFile()",""
"passed","Tue Aug 03 19:59:38 GMT 2021","Tue Aug 03 19:59:43 GMT 2021","4801","","firstPage.FirstPageTest","","firstPage.FirstPageTest","LogoutTest","LogoutTest()",""
"passed","Tue Aug 03 19:59:29 GMT 2021","Tue Aug 03 19:59:34 GMT 2021","5034","","searchResultPage.SearchResultPageTest","","searchResultPage.SearchResultPageTest","SearchMorePagesListCheck","SearchMorePagesListCheck()",""
"passed","Tue Aug 03 19:56:55 GMT 2021","Tue Aug 03 19:56:57 GMT 2021","1498","","homepage.HomePageTest","","homepage.HomePageTest","pageCheckLogin","pageCheckLogin()",""
"broken","Tue Aug 03 19:57:19 GMT 2021","Tue Aug 03 19:57:40 GMT 2021","21231","","sandboxPage.SandBoxPageTest","","sandboxPage.SandBoxPageTest","InputClearModifyData","InputClearModifyData()",""
"passed","Tue Aug 03 19:56:52 GMT 2021","Tue Aug 03 19:56:53 GMT 2021","1529","","homepage.HomePageTest","","homepage.HomePageTest","SearchDataLink","SearchDataLink()",""
"passed","Tue Aug 03 19:56:48 GMT 2021","Tue Aug 03 19:56:50 GMT 2021","1772","","loginpage.LoginPageTest","","loginpage.LoginPageTest","invalidLoginCheck","invalidLoginCheck()",""
"passed","Tue Aug 03 19:56:50 GMT 2021","Tue Aug 03 19:56:52 GMT 2021","1617","","loginpage.LoginPageTest","","loginpage.LoginPageTest","ZeroLogIn","ZeroLogIn()",""
"skipped","Tue Aug 03 19:59:34 GMT 2021","Tue Aug 03 19:59:34 GMT 2021","0","","createAccountPage.createAccountPageTest","","createAccountPage.createAccountPageTest","CreateAccountCheck","CreateAccountCheck()",""
"passed","Tue Aug 03 19:57:44 GMT 2021","Tue Aug 03 19:59:23 GMT 2021","98286","","searchResultPage.SearchResultPageTest","","searchResultPage.SearchResultPageTest","testDataList","testDataList()",""
"passed","Tue Aug 03 19:57:40 GMT 2021","Tue Aug 03 19:57:44 GMT 2021","3859","","searchResultPage.SearchResultPageTest","","searchResultPage.SearchResultPageTest","SearchPagesTest","SearchPagesTest()",""
"passed","Tue Aug 03 19:56:53 GMT 2021","Tue Aug 03 19:56:54 GMT 2021","1253","","homepage.HomePageTest","","homepage.HomePageTest","pageCheckCreateAccount","pageCheckCreateAccount()",""
"broken","Tue Aug 03 19:56:58 GMT 2021","Tue Aug 03 19:57:19 GMT 2021","21333","","sandboxPage.SandBoxPageTest","","sandboxPage.SandBoxPageTest","repeatedData","repeatedData()",""
"passed","Tue Aug 03 19:56:57 GMT 2021","Tue Aug 03 19:56:58 GMT 2021","1015","","homepage.HomePageTest","","homepage.HomePageTest","PrivacyPolicyUse","PrivacyPolicyUse()",""
"passed","Tue Aug 03 19:56:43 GMT 2021","Tue Aug 03 19:56:48 GMT 2021","4700","","loginpage.LoginPageTest","","loginpage.LoginPageTest","loginCheck","loginCheck()",""
"passed","Tue Aug 03 19:56:54 GMT 2021","Tue Aug 03 19:56:55 GMT 2021","943","","homepage.HomePageTest","","homepage.HomePageTest","testPrivacyAndPolicyLink","testPrivacyAndPolicyLink()",""
"passed","Tue Aug 03 19:59:23 GMT 2021","Tue Aug 03 19:59:29 GMT 2021","6345","","searchResultPage.SearchResultPageTest","","searchResultPage.SearchResultPageTest","SearchPagesTest2","SearchPagesTest2()",""
