"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Aug 19 16:55:53 GMT 2021","Thu Aug 19 16:55:54 GMT 2021","1028","","privacyPolicy.PrivacyPolicyTest","","privacyPolicy.PrivacyPolicyTest","PrivacyTestSummaryCheck","TC15-Privacy Policy/tartalom,Adatkezelési nyilatkozat használata",""
"passed","Thu Aug 19 16:55:43 GMT 2021","Thu Aug 19 16:55:47 GMT 2021","4173","","firstPage.FirstPageTest","","firstPage.FirstPageTest","LogoutTest2","TC07-Kijelentkezés tesztelése",""
"passed","Thu Aug 19 16:50:46 GMT 2021","Thu Aug 19 16:50:47 GMT 2021","1713","","loginpage.LoginPageTest","","loginpage.LoginPageTest","invalidLoginCheck","TC08-Bejelentkezés/invalid",""
"passed","Thu Aug 19 16:50:41 GMT 2021","Thu Aug 19 16:50:46 GMT 2021","4232","","loginpage.LoginPageTest","","loginpage.LoginPageTest","validLoginCheck","TC04-Bejelentkezés/valid",""
"broken","Thu Aug 19 16:55:27 GMT 2021","Thu Aug 19 16:55:39 GMT 2021","11479","","createAccountPage.createAccountPageTest","","createAccountPage.createAccountPageTest","CreateAccountCheck","CreateAccountCheck()",""
"passed","Thu Aug 19 16:54:29 GMT 2021","Thu Aug 19 16:54:31 GMT 2021","1987","","searchResultPage.SearchResultPageTest","","searchResultPage.SearchResultPageTest","SearchOnePageResultCheck","TC16-Search/adatok listázása/link szöveg ellenőrzéssel",""
"passed","Thu Aug 19 16:50:55 GMT 2021","Thu Aug 19 16:50:58 GMT 2021","2206","","homepage.HomePageTest","","homepage.HomePageTest","SearchRepeatedDataCheckedWithAllData","TC24-Search/ismételt és sorozatos adatbevitel adatforrásból",""
"passed","Thu Aug 19 16:51:00 GMT 2021","Thu Aug 19 16:52:47 GMT 2021","107301","","searchResultPage.SearchResultPageTest","","searchResultPage.SearchResultPageTest","testDataList","TC17-Search/adatok listázása/teljes oldalbejárással",""
"failed","Thu Aug 19 16:55:24 GMT 2021","Thu Aug 19 16:55:27 GMT 2021","2905","","searchResultPage.SearchResultPageTest","","searchResultPage.SearchResultPageTest","SearchPagesTestListCheck2","TC20-Search/több oldalas lista bejárása/full list check",""
"passed","Thu Aug 19 16:50:40 GMT 2021","Thu Aug 19 16:50:41 GMT 2021","1624","","loginpage.LoginPageTest","","loginpage.LoginPageTest","ZeroLogInTest","TC10-Bejelentkezés/invalid/special characters",""
"passed","Thu Aug 19 16:50:38 GMT 2021","Thu Aug 19 16:50:40 GMT 2021","1593","","loginpage.LoginPageTest","","loginpage.LoginPageTest","ZeroLogInTest2","TC11-Bejelentkezés/invalid/special characters",""
"passed","Thu Aug 19 16:50:58 GMT 2021","Thu Aug 19 16:50:59 GMT 2021","1076","","homepage.HomePageTest","","homepage.HomePageTest","pageCheckLogin","pageCheckLogin()",""
"failed","Thu Aug 19 16:54:37 GMT 2021","Thu Aug 19 16:54:40 GMT 2021","3061","","searchResultPage.SearchResultPageTest","","searchResultPage.SearchResultPageTest","SearchPagesListCheck","TC21-Search/több oldalas lista bejárása/full list check",""
"passed","Thu Aug 19 16:50:31 GMT 2021","Thu Aug 19 16:50:38 GMT 2021","6615","","loginpage.LoginPageTest","","loginpage.LoginPageTest","validLoginCheck2","TC05-Bejelentkezés/valid",""
"failed","Thu Aug 19 16:54:41 GMT 2021","Thu Aug 19 16:55:24 GMT 2021","43681","","searchResultPage.SearchResultPageTest","","searchResultPage.SearchResultPageTest","SearchAllPagesCheck","TC27-Search/több oldalas lista összes oldala bejárása/full list check",""
"passed","Thu Aug 19 16:54:27 GMT 2021","Thu Aug 19 16:54:29 GMT 2021","2766","","searchResultPage.SearchResultPageTest","","searchResultPage.SearchResultPageTest","SearchMorePagesTest2","TC22-Search/több oldalas lista bejárása/page check",""
"passed","Thu Aug 19 16:50:54 GMT 2021","Thu Aug 19 16:50:55 GMT 2021","955","","homepage.HomePageTest","","homepage.HomePageTest","testPrivacyAndPolicyLink","TC13-Privacy Policy/link ,Adatkezelési nyilatkozat használata",""
"passed","Thu Aug 19 16:50:50 GMT 2021","Thu Aug 19 16:50:52 GMT 2021","1181","","homepage.HomePageTest","","homepage.HomePageTest","pageCheckCreateAccount","pageCheckCreateAccount()",""
"passed","Thu Aug 19 16:50:49 GMT 2021","Thu Aug 19 16:50:50 GMT 2021","1565","","homepage.HomePageTest","","homepage.HomePageTest","SearchDataLink","SearchDataLink()",""
"failed","Thu Aug 19 16:52:47 GMT 2021","Thu Aug 19 16:54:27 GMT 2021","99663","","searchResultPage.SearchResultPageTest","","searchResultPage.SearchResultPageTest","testDataListNumber","TC18-Search/adatok listázása/teljes oldalbejárással/találatok száma",""
"failed","Thu Aug 19 16:50:47 GMT 2021","Thu Aug 19 16:50:49 GMT 2021","1466","","loginpage.LoginPageTest","","loginpage.LoginPageTest","invalidLoginCheck2","TC09-Bejelentkezés/invalid",""
"passed","Thu Aug 19 16:54:34 GMT 2021","Thu Aug 19 16:54:37 GMT 2021","3124","","searchResultPage.SearchResultPageTest","","searchResultPage.SearchResultPageTest","SearchPagesContainsCheck","TC23-Search/több oldalas lista bejárása/contains",""
"passed","Thu Aug 19 16:55:54 GMT 2021","Thu Aug 19 16:55:55 GMT 2021","1043","","privacyPolicy.PrivacyPolicyTest","","privacyPolicy.PrivacyPolicyTest","PrivacyTestVersionCheck","TC14-Privacy Policy/verzió,Adatkezelési nyilatkozat használata",""
"passed","Thu Aug 19 16:50:59 GMT 2021","Thu Aug 19 16:51:00 GMT 2021","950","","homepage.HomePageTest","","homepage.HomePageTest","PrivacyPolicyUse","TC12-Privacy Policy/present,Adatkezelési nyilatkozat használata",""
"passed","Thu Aug 19 16:50:52 GMT 2021","Thu Aug 19 16:50:54 GMT 2021","2802","","homepage.HomePageTest","","homepage.HomePageTest","SearchInputClearModifyData","TC26- új adatok bevitele, meglévő adat módosítása és törlése",""
"passed","Thu Aug 19 16:55:47 GMT 2021","Thu Aug 19 16:55:53 GMT 2021","5603","","firstPage.FirstPageTest","","firstPage.FirstPageTest","LogoutTest","TC06-Kijelentkezés tesztelése",""
"passed","Thu Aug 19 16:54:31 GMT 2021","Thu Aug 19 16:54:34 GMT 2021","2978","","searchResultPage.SearchResultPageTest","","searchResultPage.SearchResultPageTest","SearchPagesTestSearchFieldShortDataTest","TC19-Search/több oldalas lista bejárása/contains",""
