"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Fri Jul 30 18:03:23 GMT 2021","Fri Jul 30 18:03:24 GMT 2021","258","","loginpage.LoginPageTest","","loginpage.LoginPageTest","invalidLoginCheck","invalidLoginCheck()",""
"broken","Fri Jul 30 18:03:24 GMT 2021","Fri Jul 30 18:03:24 GMT 2021","178","","homepage.HomePageTest","","homepage.HomePageTest","pageCheck","pageCheck()",""
"broken","Fri Jul 30 18:03:22 GMT 2021","Fri Jul 30 18:03:23 GMT 2021","905","","loginpage.LoginPageTest","","loginpage.LoginPageTest","loginCheck","loginCheck()",""
