"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Aug 04 11:22:07 GMT 2021","Wed Aug 04 11:22:08 GMT 2021","853","","homepage.HomePageTest","","homepage.HomePageTest","PrivacyPolicyUse","PrivacyPolicyUse()",""
"passed","Wed Aug 04 11:24:34 GMT 2021","Wed Aug 04 11:24:38 GMT 2021","4587","","searchResultPage.SearchResultPageTest","","searchResultPage.SearchResultPageTest","SearchMorePagesListCheck","SearchMorePagesListCheck()",""
"passed","Wed Aug 04 11:24:50 GMT 2021","Wed Aug 04 11:24:54 GMT 2021","4185","","firstPage.FirstPageTest","","firstPage.FirstPageTest","SaveToFile","SaveToFile()",""
"passed","Wed Aug 04 11:22:54 GMT 2021","Wed Aug 04 11:24:28 GMT 2021","94030","","searchResultPage.SearchResultPageTest","","searchResultPage.SearchResultPageTest","testDataList","testDataList()",""
"broken","Wed Aug 04 11:22:08 GMT 2021","Wed Aug 04 11:22:29 GMT 2021","21308","","sandboxPage.SandBoxPageTest","","sandboxPage.SandBoxPageTest","repeatedData","repeatedData()",""
"passed","Wed Aug 04 11:22:01 GMT 2021","Wed Aug 04 11:22:02 GMT 2021","1308","","loginpage.LoginPageTest","","loginpage.LoginPageTest","ZeroLogIn","ZeroLogIn()",""
"passed","Wed Aug 04 11:21:54 GMT 2021","Wed Aug 04 11:21:59 GMT 2021","4521","","loginpage.LoginPageTest","","loginpage.LoginPageTest","loginCheck","loginCheck()",""
"broken","Wed Aug 04 11:24:38 GMT 2021","Wed Aug 04 11:24:50 GMT 2021","11272","","createAccountPage.createAccountPageTest","","createAccountPage.createAccountPageTest","CreateAccountCheck","CreateAccountCheck()",""
"passed","Wed Aug 04 11:21:59 GMT 2021","Wed Aug 04 11:22:01 GMT 2021","1909","","loginpage.LoginPageTest","","loginpage.LoginPageTest","invalidLoginCheck","invalidLoginCheck()",""
"broken","Wed Aug 04 11:22:29 GMT 2021","Wed Aug 04 11:22:50 GMT 2021","21367","","sandboxPage.SandBoxPageTest","","sandboxPage.SandBoxPageTest","InputClearModifyData","InputClearModifyData()",""
"passed","Wed Aug 04 11:24:28 GMT 2021","Wed Aug 04 11:24:34 GMT 2021","6233","","searchResultPage.SearchResultPageTest","","searchResultPage.SearchResultPageTest","SearchPagesTest2","SearchPagesTest2()",""
"passed","Wed Aug 04 11:22:04 GMT 2021","Wed Aug 04 11:22:05 GMT 2021","1089","","homepage.HomePageTest","","homepage.HomePageTest","pageCheckCreateAccount","pageCheckCreateAccount()",""
"passed","Wed Aug 04 11:22:02 GMT 2021","Wed Aug 04 11:22:04 GMT 2021","1873","","homepage.HomePageTest","","homepage.HomePageTest","SearchDataLink","SearchDataLink()",""
"passed","Wed Aug 04 11:24:54 GMT 2021","Wed Aug 04 11:24:58 GMT 2021","4316","","firstPage.FirstPageTest","","firstPage.FirstPageTest","LogoutTest","LogoutTest()",""
"passed","Wed Aug 04 11:22:05 GMT 2021","Wed Aug 04 11:22:06 GMT 2021","821","","homepage.HomePageTest","","homepage.HomePageTest","testPrivacyAndPolicyLink","testPrivacyAndPolicyLink()",""
"passed","Wed Aug 04 11:22:50 GMT 2021","Wed Aug 04 11:22:54 GMT 2021","3305","","searchResultPage.SearchResultPageTest","","searchResultPage.SearchResultPageTest","SearchPagesTest","SearchPagesTest()",""
"passed","Wed Aug 04 11:22:06 GMT 2021","Wed Aug 04 11:22:07 GMT 2021","1052","","homepage.HomePageTest","","homepage.HomePageTest","pageCheckLogin","pageCheckLogin()",""
