"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Aug 20 14:06:33 GMT 2021","Fri Aug 20 14:06:37 GMT 2021","4015","","loginpage.LoginPageTest","","loginpage.LoginPageTest","validLoginCheck","TC04-Bejelentkezés/valid",""
"passed","Fri Aug 20 14:10:12 GMT 2021","Fri Aug 20 14:10:15 GMT 2021","3143","","searchResultPage.SearchResultPageTest","","searchResultPage.SearchResultPageTest","SearchMorePagesTest2","TC22-Search/több oldalas lista bejárása/page check",""
"failed","Fri Aug 20 14:10:26 GMT 2021","Fri Aug 20 14:11:10 GMT 2021","43582","","searchResultPage.SearchResultPageTest","","searchResultPage.SearchResultPageTest","SearchAllPagesCheck","TC27-Search/több oldalas lista összes oldala bejárása/full list check",""
"passed","Fri Aug 20 14:11:46 GMT 2021","Fri Aug 20 14:11:50 GMT 2021","4228","","firstPage.FirstPageTest","","firstPage.FirstPageTest","LogoutTest2","TC07-Kijelentkezés tesztelése",""
"broken","Fri Aug 20 14:11:24 GMT 2021","Fri Aug 20 14:11:46 GMT 2021","21226","","firstPage.FirstPageTest","","firstPage.FirstPageTest","SaveToFile","TC25-Adatok lementése felületről",""
"passed","Fri Aug 20 14:10:20 GMT 2021","Fri Aug 20 14:10:23 GMT 2021","3047","","searchResultPage.SearchResultPageTest","","searchResultPage.SearchResultPageTest","SearchPagesContainsCheck","TC23-Search/több oldalas lista bejárása/contains",""
"passed","Fri Aug 20 14:06:37 GMT 2021","Fri Aug 20 14:06:39 GMT 2021","2173","","loginpage.LoginPageTest","","loginpage.LoginPageTest","invalidLoginCheck","TC08-Bejelentkezés/invalid",""
"passed","Fri Aug 20 14:10:17 GMT 2021","Fri Aug 20 14:10:20 GMT 2021","2884","","searchResultPage.SearchResultPageTest","","searchResultPage.SearchResultPageTest","SearchPagesTestSearchFieldShortDataTest","TC19-Search/több oldalas lista bejárása/contains",""
"passed","Fri Aug 20 14:08:31 GMT 2021","Fri Aug 20 14:10:12 GMT 2021","101483","","searchResultPage.SearchResultPageTest","","searchResultPage.SearchResultPageTest","testDataListNumber","TC18-Search/adatok listázása/teljes oldalbejárással/találatok száma",""
"passed","Fri Aug 20 14:10:15 GMT 2021","Fri Aug 20 14:10:17 GMT 2021","2036","","searchResultPage.SearchResultPageTest","","searchResultPage.SearchResultPageTest","SearchOnePageResultCheck","TC16-Search/adatok listázása/link szöveg ellenőrzéssel",""
"passed","Fri Aug 20 14:06:41 GMT 2021","Fri Aug 20 14:06:42 GMT 2021","1692","","homepage.HomePageTest","","homepage.HomePageTest","SearchDataLink","SearchDataLink()",""
"skipped","Fri Aug 20 14:06:52 GMT 2021","Fri Aug 20 14:06:52 GMT 2021","0","","sandboxPage.SandBoxPageTest","","sandboxPage.SandBoxPageTest","repeatedData","repeatedData()",""
"passed","Fri Aug 20 14:06:50 GMT 2021","Fri Aug 20 14:06:51 GMT 2021","1001","","homepage.HomePageTest","","homepage.HomePageTest","pageCheckLogin","pageCheckLogin()",""
"passed","Fri Aug 20 14:06:31 GMT 2021","Fri Aug 20 14:06:33 GMT 2021","1590","","loginpage.LoginPageTest","","loginpage.LoginPageTest","ZeroLogInTest","TC10-Bejelentkezés/invalid/special characters",""
"passed","Fri Aug 20 14:11:55 GMT 2021","Fri Aug 20 14:11:56 GMT 2021","998","","privacyPolicy.PrivacyPolicyTest","","privacyPolicy.PrivacyPolicyTest","PrivacyTestSummaryCheck","TC15-Privacy Policy/tartalom,Adatkezelési nyilatkozat használata",""
"failed","Fri Aug 20 14:06:39 GMT 2021","Fri Aug 20 14:06:41 GMT 2021","1521","","loginpage.LoginPageTest","","loginpage.LoginPageTest","invalidLoginCheck2","TC09-Bejelentkezés/invalid",""
"broken","Fri Aug 20 14:11:13 GMT 2021","Fri Aug 20 14:11:24 GMT 2021","11428","","createAccountPage.createAccountPageTest","","createAccountPage.createAccountPageTest","CreateAccountCheck","CreateAccountCheck()",""
"passed","Fri Aug 20 14:06:30 GMT 2021","Fri Aug 20 14:06:31 GMT 2021","1586","","loginpage.LoginPageTest","","loginpage.LoginPageTest","ZeroLogInTest2","TC11-Bejelentkezés/invalid/special characters",""
"passed","Fri Aug 20 14:06:47 GMT 2021","Fri Aug 20 14:06:48 GMT 2021","934","","homepage.HomePageTest","","homepage.HomePageTest","testPrivacyAndPolicyLink","TC13-Privacy Policy/link ,Adatkezelési nyilatkozat használata",""
"failed","Fri Aug 20 14:10:23 GMT 2021","Fri Aug 20 14:10:26 GMT 2021","3078","","searchResultPage.SearchResultPageTest","","searchResultPage.SearchResultPageTest","SearchPagesListCheck","TC21-Search/több oldalas lista bejárása/full list check",""
"passed","Fri Aug 20 14:06:25 GMT 2021","Fri Aug 20 14:06:30 GMT 2021","5163","","loginpage.LoginPageTest","","loginpage.LoginPageTest","validLoginCheck2","TC05-Bejelentkezés/valid",""
"passed","Fri Aug 20 14:11:56 GMT 2021","Fri Aug 20 14:11:57 GMT 2021","935","","privacyPolicy.PrivacyPolicyTest","","privacyPolicy.PrivacyPolicyTest","PrivacyTestVersionCheck","TC14-Privacy Policy/verzió,Adatkezelési nyilatkozat használata",""
"passed","Fri Aug 20 14:06:52 GMT 2021","Fri Aug 20 14:08:31 GMT 2021","99240","","searchResultPage.SearchResultPageTest","","searchResultPage.SearchResultPageTest","testDataList","TC17-Search/adatok listázása/teljes oldalbejárással",""
