"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Aug 01 13:37:15 GMT 2021","Sun Aug 01 13:37:19 GMT 2021","4100","","homepage.HomePageTest","","homepage.HomePageTest","SearchDataLink","SearchDataLink()",""
"passed","Sun Aug 01 13:40:10 GMT 2021","Sun Aug 01 13:40:15 GMT 2021","5294","","firstPage.FirstPageTest","","firstPage.FirstPageTest","LogoutTest","LogoutTest()",""
"passed","Sun Aug 01 13:37:11 GMT 2021","Sun Aug 01 13:37:13 GMT 2021","2082","","loginpage.LoginPageTest","","loginpage.LoginPageTest","invalidLoginCheck","invalidLoginCheck()",""
"passed","Sun Aug 01 13:40:05 GMT 2021","Sun Aug 01 13:40:10 GMT 2021","4234","","firstPage.FirstPageTest","","firstPage.FirstPageTest","SaveToFile","SaveToFile()",""
"passed","Sun Aug 01 13:37:20 GMT 2021","Sun Aug 01 13:37:22 GMT 2021","1201","","homepage.HomePageTest","","homepage.HomePageTest","testPrivacyAndPolicyLink","testPrivacyAndPolicyLink()",""
"broken","Sun Aug 01 13:39:59 GMT 2021","Sun Aug 01 13:40:05 GMT 2021","6394","","createAccountPage.createAccountPageTest","","createAccountPage.createAccountPageTest","CreateAccountCheck","CreateAccountCheck()",""
"passed","Sun Aug 01 13:37:13 GMT 2021","Sun Aug 01 13:37:15 GMT 2021","1577","","loginpage.LoginPageTest","","loginpage.LoginPageTest","ZeroLogIn","ZeroLogIn()",""
"passed","Sun Aug 01 13:38:07 GMT 2021","Sun Aug 01 13:39:53 GMT 2021","105548","","searchResultPage.SearchResultPageTest","","searchResultPage.SearchResultPageTest","testDataList","testDataList()",""
"broken","Sun Aug 01 13:37:24 GMT 2021","Sun Aug 01 13:37:45 GMT 2021","21480","","sandboxPage.SandBoxPageTest","","sandboxPage.SandBoxPageTest","repeatedData","repeatedData()",""
"passed","Sun Aug 01 13:37:23 GMT 2021","Sun Aug 01 13:37:24 GMT 2021","1132","","homepage.HomePageTest","","homepage.HomePageTest","PrivacyPolicyUse","PrivacyPolicyUse()",""
"broken","Sun Aug 01 13:37:46 GMT 2021","Sun Aug 01 13:38:07 GMT 2021","21446","","sandboxPage.SandBoxPageTest","","sandboxPage.SandBoxPageTest","InputClearModifyData","InputClearModifyData()",""
"passed","Sun Aug 01 13:37:06 GMT 2021","Sun Aug 01 13:37:11 GMT 2021","4962","","loginpage.LoginPageTest","","loginpage.LoginPageTest","loginCheck","loginCheck()",""
"passed","Sun Aug 01 13:37:19 GMT 2021","Sun Aug 01 13:37:20 GMT 2021","1458","","homepage.HomePageTest","","homepage.HomePageTest","pageCheckCreateAccount","pageCheckCreateAccount()",""
"passed","Sun Aug 01 13:37:22 GMT 2021","Sun Aug 01 13:37:23 GMT 2021","1307","","homepage.HomePageTest","","homepage.HomePageTest","pageCheckLogin","pageCheckLogin()",""
"passed","Sun Aug 01 13:39:53 GMT 2021","Sun Aug 01 13:39:59 GMT 2021","6524","","searchResultPage.SearchResultPageTest","","searchResultPage.SearchResultPageTest","SearchMorePagesListCheck","SearchMorePagesListCheck()",""
