"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Aug 03 21:56:01 GMT 2021","Tue Aug 03 21:56:05 GMT 2021","3832","","searchResultPage.SearchResultPageTest","","searchResultPage.SearchResultPageTest","SearchPagesTest","SearchPagesTest()",""
"passed","Tue Aug 03 21:55:13 GMT 2021","Tue Aug 03 21:55:15 GMT 2021","1318","","homepage.HomePageTest","","homepage.HomePageTest","pageCheckCreateAccount","pageCheckCreateAccount()",""
"passed","Tue Aug 03 21:55:17 GMT 2021","Tue Aug 03 21:55:18 GMT 2021","1142","","homepage.HomePageTest","","homepage.HomePageTest","PrivacyPolicyUse","PrivacyPolicyUse()",""
"passed","Tue Aug 03 21:55:16 GMT 2021","Tue Aug 03 21:55:17 GMT 2021","1222","","homepage.HomePageTest","","homepage.HomePageTest","pageCheckLogin","pageCheckLogin()",""
"passed","Tue Aug 03 21:55:15 GMT 2021","Tue Aug 03 21:55:16 GMT 2021","1064","","homepage.HomePageTest","","homepage.HomePageTest","testPrivacyAndPolicyLink","testPrivacyAndPolicyLink()",""
"broken","Tue Aug 03 21:55:18 GMT 2021","Tue Aug 03 21:55:40 GMT 2021","21596","","sandboxPage.SandBoxPageTest","","sandboxPage.SandBoxPageTest","repeatedData","repeatedData()",""
"passed","Tue Aug 03 21:57:53 GMT 2021","Tue Aug 03 21:58:00 GMT 2021","6722","","searchResultPage.SearchResultPageTest","","searchResultPage.SearchResultPageTest","SearchPagesTest2","SearchPagesTest2()",""
"passed","Tue Aug 03 21:55:12 GMT 2021","Tue Aug 03 21:55:13 GMT 2021","1802","","homepage.HomePageTest","","homepage.HomePageTest","SearchDataLink","SearchDataLink()",""
"passed","Tue Aug 03 21:58:17 GMT 2021","Tue Aug 03 21:58:23 GMT 2021","6550","","firstPage.FirstPageTest","","firstPage.FirstPageTest","SaveToFile","SaveToFile()",""
"passed","Tue Aug 03 21:55:10 GMT 2021","Tue Aug 03 21:55:12 GMT 2021","1626","","loginpage.LoginPageTest","","loginpage.LoginPageTest","ZeroLogIn","ZeroLogIn()",""
"broken","Tue Aug 03 21:58:05 GMT 2021","Tue Aug 03 21:58:16 GMT 2021","11391","","createAccountPage.createAccountPageTest","","createAccountPage.createAccountPageTest","CreateAccountCheck","CreateAccountCheck()",""
"passed","Tue Aug 03 21:55:08 GMT 2021","Tue Aug 03 21:55:10 GMT 2021","1932","","loginpage.LoginPageTest","","loginpage.LoginPageTest","invalidLoginCheck","invalidLoginCheck()",""
"broken","Tue Aug 03 21:55:40 GMT 2021","Tue Aug 03 21:56:01 GMT 2021","21566","","sandboxPage.SandBoxPageTest","","sandboxPage.SandBoxPageTest","InputClearModifyData","InputClearModifyData()",""
"passed","Tue Aug 03 21:55:03 GMT 2021","Tue Aug 03 21:55:08 GMT 2021","4958","","loginpage.LoginPageTest","","loginpage.LoginPageTest","loginCheck","loginCheck()",""
"passed","Tue Aug 03 21:58:00 GMT 2021","Tue Aug 03 21:58:05 GMT 2021","5237","","searchResultPage.SearchResultPageTest","","searchResultPage.SearchResultPageTest","SearchMorePagesListCheck","SearchMorePagesListCheck()",""
"passed","Tue Aug 03 21:58:23 GMT 2021","Tue Aug 03 21:58:28 GMT 2021","4927","","firstPage.FirstPageTest","","firstPage.FirstPageTest","LogoutTest","LogoutTest()",""
"passed","Tue Aug 03 21:56:05 GMT 2021","Tue Aug 03 21:57:53 GMT 2021","107890","","searchResultPage.SearchResultPageTest","","searchResultPage.SearchResultPageTest","testDataList","testDataList()",""
