"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Mon Aug 02 20:10:39 GMT 2021","Mon Aug 02 20:11:00 GMT 2021","21282","","sandboxPage.SandBoxPageTest","","sandboxPage.SandBoxPageTest","InputData","InputData()",""
"passed","Mon Aug 02 20:11:21 GMT 2021","Mon Aug 02 20:12:57 GMT 2021","95546","","searchResultPage.SearchResultPageTest","","searchResultPage.SearchResultPageTest","testDataList","testDataList()",""
"passed","Mon Aug 02 20:12:57 GMT 2021","Mon Aug 02 20:13:03 GMT 2021","5714","","searchResultPage.SearchResultPageTest","","searchResultPage.SearchResultPageTest","SearchMorePagesListCheck","SearchMorePagesListCheck()",""
"passed","Mon Aug 02 20:09:52 GMT 2021","Mon Aug 02 20:09:53 GMT 2021","1200","","homepage.HomePageTest","","homepage.HomePageTest","pageCheckCreateAccount","pageCheckCreateAccount()",""
"broken","Mon Aug 02 20:10:18 GMT 2021","Mon Aug 02 20:10:39 GMT 2021","21255","","sandboxPage.SandBoxPageTest","","sandboxPage.SandBoxPageTest","NewData","NewData()",""
"passed","Mon Aug 02 20:09:54 GMT 2021","Mon Aug 02 20:09:55 GMT 2021","1485","","homepage.HomePageTest","","homepage.HomePageTest","pageCheckLogin","pageCheckLogin()",""
"broken","Mon Aug 02 20:13:03 GMT 2021","Mon Aug 02 20:13:14 GMT 2021","11150","","createAccountPage.createAccountPageTest","","createAccountPage.createAccountPageTest","CreateAccountCheck","CreateAccountCheck()",""
"passed","Mon Aug 02 20:09:48 GMT 2021","Mon Aug 02 20:09:50 GMT 2021","1445","","loginpage.LoginPageTest","","loginpage.LoginPageTest","ZeroLogIn","ZeroLogIn()",""
"broken","Mon Aug 02 20:09:56 GMT 2021","Mon Aug 02 20:10:18 GMT 2021","21261","","sandboxPage.SandBoxPageTest","","sandboxPage.SandBoxPageTest","repeatedData","repeatedData()",""
"broken","Mon Aug 02 20:11:00 GMT 2021","Mon Aug 02 20:11:21 GMT 2021","21287","","sandboxPage.SandBoxPageTest","","sandboxPage.SandBoxPageTest","ClearData","ClearData()",""
"passed","Mon Aug 02 20:13:18 GMT 2021","Mon Aug 02 20:13:23 GMT 2021","4514","","firstPage.FirstPageTest","","firstPage.FirstPageTest","LogoutTest","LogoutTest()",""
"failed","Mon Aug 02 20:13:14 GMT 2021","Mon Aug 02 20:13:18 GMT 2021","4370","","firstPage.FirstPageTest","","firstPage.FirstPageTest","SaveToFile","SaveToFile()",""
"passed","Mon Aug 02 20:09:55 GMT 2021","Mon Aug 02 20:09:56 GMT 2021","1056","","homepage.HomePageTest","","homepage.HomePageTest","PrivacyPolicyUse","PrivacyPolicyUse()",""
"passed","Mon Aug 02 20:09:47 GMT 2021","Mon Aug 02 20:09:48 GMT 2021","1834","","loginpage.LoginPageTest","","loginpage.LoginPageTest","invalidLoginCheck","invalidLoginCheck()",""
"passed","Mon Aug 02 20:09:50 GMT 2021","Mon Aug 02 20:09:52 GMT 2021","1827","","homepage.HomePageTest","","homepage.HomePageTest","SearchDataLink","SearchDataLink()",""
"passed","Mon Aug 02 20:09:42 GMT 2021","Mon Aug 02 20:09:46 GMT 2021","4749","","loginpage.LoginPageTest","","loginpage.LoginPageTest","loginCheck","loginCheck()",""
"passed","Mon Aug 02 20:09:53 GMT 2021","Mon Aug 02 20:09:54 GMT 2021","922","","homepage.HomePageTest","","homepage.HomePageTest","testPrivacyAndPolicyLink","testPrivacyAndPolicyLink()",""
