"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Aug 03 19:05:24 GMT 2021","Tue Aug 03 19:05:26 GMT 2021","1138","","homepage.HomePageTest","","homepage.HomePageTest","pageCheckLogin","pageCheckLogin()",""
"passed","Tue Aug 03 19:05:22 GMT 2021","Tue Aug 03 19:05:23 GMT 2021","1280","","homepage.HomePageTest","","homepage.HomePageTest","pageCheckCreateAccount","pageCheckCreateAccount()",""
"broken","Tue Aug 03 19:08:22 GMT 2021","Tue Aug 03 19:08:33 GMT 2021","11295","","createAccountPage.createAccountPageTest","","createAccountPage.createAccountPageTest","CreateAccountCheck","CreateAccountCheck()",""
"broken","Tue Aug 03 19:05:27 GMT 2021","Tue Aug 03 19:05:48 GMT 2021","21315","","sandboxPage.SandBoxPageTest","","sandboxPage.SandBoxPageTest","repeatedData","repeatedData()",""
"passed","Tue Aug 03 19:05:26 GMT 2021","Tue Aug 03 19:05:27 GMT 2021","1102","","homepage.HomePageTest","","homepage.HomePageTest","PrivacyPolicyUse","PrivacyPolicyUse()",""
"passed","Tue Aug 03 19:08:16 GMT 2021","Tue Aug 03 19:08:22 GMT 2021","5511","","searchResultPage.SearchResultPageTest","","searchResultPage.SearchResultPageTest","SearchMorePagesListCheck","SearchMorePagesListCheck()",""
"broken","Tue Aug 03 19:05:48 GMT 2021","Tue Aug 03 19:06:09 GMT 2021","21389","","sandboxPage.SandBoxPageTest","","sandboxPage.SandBoxPageTest","InputClearModifyData","InputClearModifyData()",""
"passed","Tue Aug 03 19:05:17 GMT 2021","Tue Aug 03 19:05:19 GMT 2021","1907","","loginpage.LoginPageTest","","loginpage.LoginPageTest","invalidLoginCheck","invalidLoginCheck()",""
"passed","Tue Aug 03 19:05:12 GMT 2021","Tue Aug 03 19:05:17 GMT 2021","4895","","loginpage.LoginPageTest","","loginpage.LoginPageTest","loginCheck","loginCheck()",""
"passed","Tue Aug 03 19:08:38 GMT 2021","Tue Aug 03 19:08:42 GMT 2021","4490","","firstPage.FirstPageTest","","firstPage.FirstPageTest","LogoutTest","LogoutTest()",""
"passed","Tue Aug 03 19:05:19 GMT 2021","Tue Aug 03 19:05:20 GMT 2021","1343","","loginpage.LoginPageTest","","loginpage.LoginPageTest","ZeroLogIn","ZeroLogIn()",""
"passed","Tue Aug 03 19:05:20 GMT 2021","Tue Aug 03 19:05:22 GMT 2021","1692","","homepage.HomePageTest","","homepage.HomePageTest","SearchDataLink","SearchDataLink()",""
"passed","Tue Aug 03 19:06:09 GMT 2021","Tue Aug 03 19:06:13 GMT 2021","3992","","searchResultPage.SearchResultPageTest","","searchResultPage.SearchResultPageTest","SearchPagesTest","SearchPagesTest()",""
"passed","Tue Aug 03 19:08:09 GMT 2021","Tue Aug 03 19:08:16 GMT 2021","7050","","searchResultPage.SearchResultPageTest","","searchResultPage.SearchResultPageTest","SearchPagesTest2","SearchPagesTest2()",""
"passed","Tue Aug 03 19:06:13 GMT 2021","Tue Aug 03 19:08:09 GMT 2021","115960","","searchResultPage.SearchResultPageTest","","searchResultPage.SearchResultPageTest","testDataList","testDataList()",""
"passed","Tue Aug 03 19:08:33 GMT 2021","Tue Aug 03 19:08:38 GMT 2021","4371","","firstPage.FirstPageTest","","firstPage.FirstPageTest","SaveToFile","SaveToFile()",""
"passed","Tue Aug 03 19:05:23 GMT 2021","Tue Aug 03 19:05:24 GMT 2021","989","","homepage.HomePageTest","","homepage.HomePageTest","testPrivacyAndPolicyLink","testPrivacyAndPolicyLink()",""
